,x1,x2,r_x,a_x
0,3.0,3.6739403974420594e-16,3.0,1.2246467991473532e-16
1,2.9940801852848145,0.18837155858794025,2.9999999999999996,0.06283185307179591
2,2.9763441039434335,0.37599970069291266,3.0,0.1256637061435917
3,2.946861752186066,0.5621439437571749,3.0,0.18849555921538794
4,2.905749483385893,0.746069661494565,2.9999999999999996,0.2513274122871837
5,2.85316954888546,0.9270509831248424,2.9999999999999996,0.3141592653589794
6,2.7893294576647536,1.1043736580540342,2.9999999999999996,0.3769911184307753
7,2.7144811573980583,1.2773378746952184,3.0,0.43982297150257127
8,2.6289200401315904,1.4452610223051472,3.0000000000000004,0.5026548245743674
9,2.5329837765060446,1.607480384936991,3.0,0.5654866776461632
10,2.427050983124842,1.7633557568774196,2.9999999999999996,0.6283185307179588
11,2.311539728327367,1.9122719692460697,3.0,0.6911503837897548
12,2.1869058822642344,2.053641317786066,3.0,0.7539822368615504
13,2.053641317786065,2.186905882264235,2.9999999999999996,0.8168140899333466
14,1.912271969246069,2.311539728327368,3.0000000000000004,0.8796459430051422
15,1.7633557568774187,2.427050983124843,3.0,0.9424777960769383
16,1.6074803849369879,2.5329837765060454,2.999999999999999,1.0053096491487343
17,1.445261022305145,2.6289200401315918,3.0000000000000004,1.06814150222053
18,1.277337874695217,2.714481157398059,3.0,1.1309733552923258
19,1.1043736580540338,2.7893294576647545,3.0000000000000004,1.1938052083641215
20,0.927050983124842,2.8531695488854605,2.9999999999999996,1.2566370614359172
21,0.7460696614945626,2.9057494833858937,2.9999999999999996,1.3194689145077139
22,0.5621439437571732,2.946861752186066,2.9999999999999996,1.3823007675795091
23,0.3759997006929118,2.9763441039434335,2.9999999999999996,1.4451326206513053
24,0.1883715585879402,2.9940801852848145,2.9999999999999996,1.5079644737231008
25,-1.515964649422291e-15,3.0,3.0,1.570796326794897
26,-0.18837155858794188,2.9940801852848145,3.0,1.633628179866693
27,-0.37599970069291355,2.9763441039434335,3.0,1.6964600329384885
28,-0.5621439437571736,2.9468617521860656,2.9999999999999996,1.759291886010284
29,-0.7460696614945643,2.9057494833858932,3.0,1.82212373908208
30,-0.9270509831248437,2.85316954888546,2.9999999999999996,1.8849555921538763
31,-1.1043736580540358,2.7893294576647536,3.0,1.9477874452256723
32,-1.2773378746952186,2.714481157398058,2.9999999999999996,2.0106192982974678
33,-1.4452610223051454,2.628920040131591,3.0,2.0734511513692633
34,-1.6074803849369907,2.532983776506045,3.0000000000000004,2.1362830044410597
35,-1.7633557568774196,2.427050983124842,2.9999999999999996,2.199114857512855
36,-1.9122719692460706,2.311539728327367,3.0000000000000004,2.2619467105846516
37,-2.0536413177860666,2.1869058822642344,3.0000000000000004,2.324778563656447
38,-2.186905882264234,2.0536413177860666,3.0,2.3876104167282426
39,-2.311539728327368,1.9122719692460683,2.9999999999999996,2.450442269800039
40,-2.427050983124842,1.7633557568774192,2.9999999999999996,2.5132741228718345
41,-2.532983776506046,1.6074803849369887,3.0,2.576105975943631
42,-2.628920040131591,1.4452610223051452,2.9999999999999996,2.6389378290154264
43,-2.7144811573980583,1.2773378746952184,3.0,2.701769682087222
44,-2.7893294576647545,1.104373658054033,3.0,2.7646015351590183
45,-2.8531695488854614,0.9270509831248399,2.9999999999999996,2.8274333882308147
46,-2.9057494833858937,0.7460696614945628,3.0,2.89026524130261
47,-2.946861752186066,0.5621439437571734,2.9999999999999996,2.9530970943744057
48,-2.9763441039434335,0.3759997006929132,3.0,3.015928947446201
49,-2.9940801852848145,0.18837155858793903,2.9999999999999996,3.0787608005179976
50,-3.0,-2.6645352591003757e-15,3.0,3.141592653589794
51,-2.9940801852848145,-0.18837155858794172,3.0,3.2044245066615895
52,-2.9763441039434335,-0.3759997006929132,3.0,3.267256359733385
53,-2.9468617521860656,-0.5621439437571732,2.9999999999999996,3.3300882128051805
54,-2.9057494833858932,-0.7460696614945653,3.0000000000000004,3.392920065876977
55,-2.85316954888546,-0.927050983124845,3.0000000000000004,3.4557519189487733
56,-2.789329457664753,-1.104373658054035,2.9999999999999996,3.518583772020569
57,-2.714481157398058,-1.2773378746952182,2.9999999999999996,3.5814156250923643
58,-2.628920040131591,-1.4452610223051452,2.9999999999999996,3.64424747816416
59,-2.532983776506045,-1.6074803849369905,3.0,3.7070793312359562
60,-2.42705098312484,-1.7633557568774214,2.9999999999999996,3.7699111843077526
61,-2.311539728327367,-1.9122719692460701,3.0000000000000004,3.832743037379548
62,-2.1869058822642344,-2.0536413177860666,3.0000000000000004,3.8955748904513436
63,-2.053641317786066,-2.1869058822642335,2.9999999999999996,3.958406743523139
64,-1.9122719692460683,-2.311539728327368,2.9999999999999996,4.0212385965949355
65,-1.7633557568774192,-2.4270509831248424,3.0,4.084070449666731
66,-1.6074803849369887,-2.5329837765060463,3.0000000000000004,4.1469023027385274
67,-1.4452610223051456,-2.628920040131591,3.0,4.209734155810323
68,-1.277337874695216,-2.714481157398059,2.9999999999999996,4.272566008882119
69,-1.1043736580540329,-2.7893294576647545,3.0,4.335397861953915
70,-0.9270509831248421,-2.8531695488854605,2.9999999999999996,4.39822971502571
71,-0.746069661494563,-2.9057494833858937,3.0,4.461061568097507
72,-0.5621439437571736,-2.9468617521860665,3.0000000000000004,4.523893421169302
73,-0.3759997006929109,-2.9763441039434335,2.9999999999999996,4.586725274241099
74,-0.1883715585879393,-2.9940801852848145,2.9999999999999996,4.649557127312894
75,-1.8369701987210292e-16,-3.0,3.0,4.71238898038469
76,0.18837155858794152,-2.9940801852848145,3.0,4.775220833456486
77,0.375999700692913,-2.9763441039434335,3.0,4.838052686528282
78,0.5621439437571757,-2.9468617521860656,3.0,4.900884539600078
79,0.7460696614945651,-2.9057494833858932,3.0000000000000004,4.9637163926718735
80,0.927050983124842,-2.853169548885461,3.0000000000000004,5.026548245743669
81,1.1043736580540373,-2.7893294576647523,2.9999999999999996,5.089380098815466
82,1.2773378746952204,-2.7144811573980574,3.0,5.152211951887262
83,1.4452610223051476,-2.62892004013159,3.0000000000000004,5.215043804959057
84,1.6074803849369905,-2.532983776506045,3.0,5.277875658030853
85,1.7633557568774192,-2.4270509831248424,3.0,5.340707511102648
86,1.9122719692460683,-2.3115397283273684,3.0,5.403539364174444
87,2.053641317786064,-2.1869058822642358,2.9999999999999996,5.466371217246239
88,2.186905882264236,-2.0536413177860644,3.0,5.529203070318037
89,2.311539728327368,-1.9122719692460683,2.9999999999999996,5.592034923389832
90,2.427050983124845,-1.7633557568774156,3.0,5.654866776461629
91,2.5329837765060477,-1.6074803849369863,3.0000000000000004,5.717698629533425
92,2.6289200401315926,-1.4452610223051434,3.0000000000000004,5.78053048260522
93,2.714481157398059,-1.2773378746952164,3.0,5.843362335677016
94,2.7893294576647545,-1.104373658054033,3.0,5.906194188748811
95,2.853169548885461,-0.9270509831248426,3.0000000000000004,5.969026041820607
96,2.9057494833858932,-0.7460696614945656,3.0000000000000004,6.031857894892402
97,2.9468617521860656,-0.5621439437571762,3.0,6.094689747964198
98,2.9763441039434335,-0.375999700692911,2.9999999999999996,6.157521601035995
99,2.9940801852848145,-0.18837155858793944,2.9999999999999996,6.220353454107791
100,3.0999999999999996,3.6739403974420594e-16,3.0999999999999996,1.185142063690987e-16
101,3.0938828581276416,0.19465061054087152,3.0999999999999996,0.06283185307179588
102,3.0755555740748814,0.3885330240493431,3.1,0.1256637061435917
103,3.045090477258935,0.5808820752157473,3.1000000000000005,0.18849555921538788
104,3.002607799498756,0.7709386502110505,3.0999999999999996,0.2513274122871837
105,2.948275200514975,0.957952682562337,3.099999999999999,0.3141592653589794
106,2.8823071062535783,1.1411861133225019,3.099999999999999,0.3769911184307753
107,2.8049638626446605,1.3199158038517254,3.1,0.4398229715025711
108,2.7165507081359763,1.4934363897153184,3.1,0.5026548245743674
109,2.6174165690562465,1.6610630644348903,3.1,0.565486677646163
110,2.5079526825623364,1.8221342821066666,3.099999999999999,0.6283185307179587
111,2.388591052604945,1.9760143682209383,3.099999999999999,0.6911503837897549
112,2.2598027450063753,2.122096028378935,3.1,0.7539822368615505
113,2.122096028378934,2.259802745006376,3.099999999999999,0.8168140899333465
114,1.9760143682209381,2.388591052604946,3.0999999999999996,0.879645943005142
115,1.8221342821066657,2.5079526825623373,3.0999999999999996,0.9424777960769383
116,1.6610630644348872,2.6174165690562474,3.099999999999999,1.0053096491487346
117,1.4934363897153162,2.7165507081359777,3.1,1.06814150222053
118,1.319915803851724,2.8049638626446605,3.099999999999999,1.1309733552923258
119,1.1411861133225014,2.882307106253579,3.1,1.1938052083641215
120,0.9579526825623367,2.9482752005149755,3.099999999999999,1.2566370614359172
121,0.770938650211048,3.002607799498757,3.1,1.3194689145077139
122,0.5808820752157456,3.045090477258935,3.1,1.3823007675795091
123,0.3885330240493422,3.0755555740748814,3.1,1.445132620651305
124,0.19465061054087152,3.0938828581276416,3.0999999999999996,1.5079644737231008
125,-1.5320458759190571e-15,3.0999999999999996,3.0999999999999996,1.570796326794897
126,-0.1946506105408732,3.0938828581276416,3.1,1.633628179866693
127,-0.388533024049344,3.0755555740748806,3.099999999999999,1.6964600329384885
128,-0.580882075215746,3.0450904772589347,3.0999999999999996,1.759291886010284
129,-0.7709386502110498,3.0026077994987563,3.0999999999999996,1.82212373908208
130,-0.9579526825623383,2.948275200514975,3.099999999999999,1.8849555921538763
131,-1.1411861133225034,2.8823071062535783,3.1,1.9477874452256723
