color,x1,x2,a1,a2,r1,r2
red,9.882349498811294,-9.91228479506859,5.354368395008619,2.4209531461862266,16.110392921463145,3
red,-4.032228184478331,9.440260294884878,1.6893837553701683,1.8460918791918277,10.666504685009508,3
green,-9.444775386792942,0.7346052318580734,2.787981906524171,1.036219327521034,7.586365966640152,3
red,12.18398659142191,-0.6082843416074124,6.030686407503536,0.9584244223458322,10.22518085327166,3
green,-5.048691424431836,-5.194480698765435,3.5338718407525462,1.8664715655337187,7.525177503112222,3
green,-5.212394200106296,-8.225681806772581,3.978518748893773,0.5777726004046514,7.08624183297317,3
red,7.605289092336691,-7.0285607544576285,5.280363605446831,2.072457097193044,11.458749998464118,3
green,4.36874106229734,1.5360028548442495,0.10016630300919227,2.7692361163583783,7.294859330361045,3
red,9.02433896164811,-12.528723177917472,5.254309500653744,0.4368401414602583,12.669918909007762,3
green,2.4810452016973015,-10.53830042284664,4.871570389061861,0.26276402482236577,7.901311967470643,3
green,9.784594240317325,-7.998336123095509,5.5952686761982005,0.0110816795469878,9.637848544647376,3
green,-11.534072294513692,-6.114752692246427,3.450610960636552,0.8826790354105645,10.942121577024235,3
green,-9.347036846603409,-7.442606265051887,3.7913471096433433,0.09051410802677413,8.957403326071416,3
green,-10.676300551474577,-3.4982872428424345,3.1897432765011,1.4563099408954765,10.489596807492745,3
red,22.421952684576645,1.027610288145734,0.025235749030536332,0.1544494497027075,19.4764540691368,3
red,9.578369758957837,-3.2136299897788816,5.843604861476196,2.7416638329579324,12.798614886904783,3
green,10.22998776711978,-0.873401290109556,6.030558655762288,0.607028121858196,7.659544467821279,3
green,6.767093253050428,10.421755040849803,0.8981572585810625,0.4115945042598013,9.618490889470902,3
red,14.316180079417082,-0.5445630335072451,6.046889157160052,1.2246236541928546,13.027942088600753,3
green,3.675125136821233,-10.4129569304333,4.872632648748217,0.7148721206751991,8.600417815023743,3
red,-12.011853496355652,3.3074387419592925,2.637184553393347,1.3247762142416262,11.383717853322333,3
green,4.0649566607129515,2.239208374380656,0.4210738550717924,3.0138786413205647,7.600707513201872,3
green,8.333788444064979,-12.085016507161853,5.118592168383179,1.2876750141406774,13.556450756472596,3
red,-8.951908306726,2.141409495629708,2.750992280458765,2.645392496550689,11.731178217684118,3
green,-3.5525416845117865,-8.960676687150116,4.081676810945065,2.2057875725209732,11.111228279783862,3
green,-10.19245968157333,5.302009040530479,2.462301599881305,0.8624248490428,9.309069188084425,3
red,-1.4008736277733584,9.27020284571875,1.402266019829796,1.777802957150066,9.520486268766172,3
red,-14.091496397338945,5.946348932915996,2.631846668576233,0.5966580036254462,12.719922899101014,3
green,9.299270866225502,2.628621684895324,6.244296043138013,1.4820160430288125,8.924049254336758,3
green,2.668827122557289,-8.032477379152573,4.988416635207228,3.0150342634968843,11.431770570509952,3
red,-8.262742832559093,-5.744216610161045,3.73553484154374,3.096120721569442,13.059222137473741,3
green,-4.090399513914109,1.660870408105405,2.4149072134712957,2.6270758443390445,6.772153155216039,3
green,-5.022043475806157,-3.8504647348110574,3.752639462010605,3.0506532598892333,9.310006178941322,3
red,-6.409483308691733,-17.006078230275293,4.186236244939069,1.606827970591482,18.032910524961647,3
green,5.492469641459911,0.34961041282426186,6.2009346692200165,2.871771074701531,8.336633521724062,3
red,-0.869761035963839,13.971912423507257,1.4408413184672864,1.0995728257170545,12.379455151081086,3
red,-13.588382725824712,-1.3517585305970146,3.0478114311809446,1.0608325708941337,11.937651481873354,3
red,-15.41586430925971,1.4836237156655867,2.9393641143335216,0.5795459754547534,12.889566673037596,3
green,-4.055764083169342,-6.662128706285023,3.816695886711318,2.0471798223404742,8.70548984522187,3
red,-9.783881191972421,-11.514467140202916,3.9943338224318152,0.06922264780692292,12.115600578886372,3
red,-0.7992565959413532,15.19938343032549,1.5783373985301337,2.911358910373631,18.125817689729036,3
green,-3.7319200006152045,9.342955336585552,1.7358017574033886,2.3442154968056332,11.924808323688662,3
red,-1.4622029608242966,-7.613875511383904,4.246732592359313,2.3604922806299267,9.590164187199225,3
red,13.251921701477343,-10.17754772050733,5.584318106331905,0.24717421751506458,13.784204227078806,3
green,-1.8652841894761785,-13.087636608697444,4.451970528563303,0.5497717564897352,10.56870298080512,3
green,-7.628823481200854,-3.884222658042439,3.255190666914113,1.6317368985488172,8.202653451567837,3
green,10.579514458630529,-0.3840388425214001,5.96482494185015,1.3821024350117355,9.605372476327625,3
red,7.114155332216827,6.829960713405846,0.5656832315116057,2.432747993028222,11.9440833802734,3
green,-8.877894738386932,-7.7302983712713,3.7345097667829483,0.504470891548926,9.055829185562082,3
red,-12.236571476614431,1.6012171776324315,2.7812166995987044,1.219296509471761,10.982258952659583,3
red,-4.179286322635215,-8.226213383216361,3.9352042702863517,1.9476643895184378,9.899250923171344,3
green,-8.07399706478465,5.4366632218273185,2.2531551478721688,1.2402842854594347,8.337411192542342,3
green,4.553072461262802,-2.7432030886347403,5.563433309515762,2.8233924542082764,8.081485071819884,3
green,-2.5721672423403676,-5.285834285738426,4.181060696821008,2.987427367947254,8.824784919917317,3
green,6.62473217370812,-7.032305554409681,5.231020673525539,2.2845602938542497,11.355424131742868,3
red,-2.8309071509634887,6.484786100980475,1.917303163653741,2.987542334505283,10.025251148894622,3
red,7.0399002085409865,20.288325155185674,1.1097886778258153,1.1355587691786437,20.037147024393754,3
red,1.0324265997674988,11.318050271924676,1.2299667265567709,1.9283805705587749,12.062154987924455,3
green,-11.594801099719547,-6.576695785256232,3.569524553970896,0.40132707684777863,10.516884086953795,3
red,-16.841986416138422,-2.5675437979614895,3.176358877959609,0.7210752194311217,14.66776595635871,3
green,-2.4578248164349965,-16.146683637971993,4.419943327200008,0.8744314720259333,14.245401409505977,3
green,6.3953283904521285,1.135718183566578,6.111570633106229,2.3128791470558645,8.134906022290341,3
green,-12.967111355785638,-1.1765137087890305,3.2124471292242016,0.08528748587911003,10.028771058370765,3
green,5.437808538023524,-2.8838558831420733,5.679720822597126,2.902159982596899,9.028354467896904,3
green,3.6314617308498245,6.932301043960001,0.7070997111647399,1.326832066413814,6.539603253924065,3
red,-11.47465472297009,3.7646865530305162,2.6763336953937102,0.6366983457921128,9.531814308284446,3
red,-16.4235425990241,9.019944250879144,2.487566820893131,1.2358283331944924,17.535790877347488,3
green,-5.478010333307417,6.229699336337562,1.922115435831552,1.588245166970959,7.786714615261959,3
red,7.139786200683357,-12.759087936982864,5.05716973928109,0.9312826082931172,12.630973043725378,3
red,17.342536372648233,-5.334539635936541,5.936792508188865,0.2943059699047345,15.252553291214738,3
red,-4.623910972253384,-11.6545347961192,4.100188710171343,1.3298864558542223,11.4793648554672,3
green,5.879579629688902,-9.250957661440054,5.146337781886092,0.5025508088338762,8.236549056422614,3
green,-3.007876271315746,4.672914134702463,2.05811783028795,2.984417202269882,8.50043224555029,3
red,10.724761016638467,-0.34959161514391335,6.027264595859578,2.227176086640795,12.294715361670821,3
